3.870604	2.912570	2.555464	0.790000	1.930000	1.610000	2.960000	-2.086200	-4.404500	-2.712100	-7.859100	3.893900	7.576200	5.985800	11.813800	-2.086200	-4.404500	-2.712100	-7.859100	0.000000	0.385000	0.000000	0.143000	2.600000	1.330000	0.905000	0.620000	1.710000	1.045000	0.770000	0.580000	1.027400	-1.240558
3.925597	2.858240	2.692150	0.790000	1.930000	2.180000	2.960000	-2.086200	-4.404500	-5.194700	-7.859100	3.893900	7.576200	9.788600	11.813800	-2.086200	-4.404500	-5.194700	-7.859100	0.000000	0.385000	0.155000	0.143000	2.600000	1.330000	0.745000	0.620000	1.710000	1.045000	0.670000	0.580000	0.781000	-1.012833
4.059806	2.856817	2.884582	0.790000	1.930000	2.020000	2.960000	-2.086200	-4.404500	-4.570200	-7.859100	3.893900	7.576200	7.285500	11.813800	-2.086200	-4.404500	-4.570200	-7.859100	0.000000	0.385000	0.438000	0.143000	2.600000	1.330000	1.077000	0.620000	1.710000	1.045000	0.920000	0.580000	1.139900	-1.145090
3.887140	2.881822	2.612114	0.790000	1.930000	1.810000	2.960000	-2.086200	-4.404500	-2.579100	-7.859100	3.893900	7.576200	5.999300	11.813800	-2.086200	-4.404500	-2.579100	-7.859100	0.000000	0.385000	0.170000	0.143000	2.600000	1.330000	0.935000	0.620000	1.710000	1.045000	0.760000	0.580000	0.000000	-1.112540
3.966402	2.870028	2.738541	0.790000	1.930000	1.780000	2.960000	-2.086200	-4.404500	-2.518500	-7.859100	3.893900	7.576200	5.786400	11.813800	-2.086200	-4.404500	-2.518500	-7.859100	0.000000	0.385000	0.360000	0.143000	2.600000	1.330000	1.110000	0.620000	1.710000	1.045000	0.940000	0.580000	0.181800	-1.162859
4.021007	2.858864	2.827656	0.790000	1.930000	2.050000	2.960000	-2.086200	-4.404500	-4.827600	-7.859100	3.893900	7.576200	8.608400	11.813800	-2.086200	-4.404500	-4.827600	-7.859100	0.000000	0.385000	0.335000	0.143000	2.600000	1.330000	0.935000	0.620000	1.710000	1.045000	0.830000	0.580000	0.851900	-1.097396
3.863543	2.891591	2.567475	0.790000	2.540000	1.610000	2.960000	-2.086200	-5.760200	-2.712100	-7.859100	3.893900	9.225500	5.985800	11.813800	-2.086200	-5.760200	-2.712100	-7.859100	0.000000	0.488000	0.000000	0.143000	2.600000	1.450000	0.905000	0.620000	1.710000	1.210000	0.770000	0.580000	0.000000	-1.123688
3.909000	2.819737	2.707858	0.790000	2.540000	2.180000	2.960000	-2.086200	-5.760200	-5.194700	-7.859100	3.893900	9.225500	9.788600	11.813800	-2.086200	-5.760200	-5.194700	-7.859100	0.000000	0.488000	0.155000	0.143000	2.600000	1.450000	0.745000	0.620000	1.710000	1.210000	0.670000	0.580000	0.000000	-0.922919
4.045912	2.825388	2.896176	0.790000	2.540000	2.020000	2.960000	-2.086200	-5.760200	-4.570200	-7.859100	3.893900	9.225500	7.285500	11.813800	-2.086200	-5.760200	-4.570200	-7.859100	0.000000	0.488000	0.438000	0.143000	2.600000	1.450000	1.077000	0.620000	1.710000	1.210000	0.920000	0.580000	0.128400	-1.043968
3.871460	2.818532	2.655323	0.790000	2.540000	1.810000	2.960000	-2.086200	-5.760200	-2.579100	-7.859100	3.893900	9.225500	5.999300	11.813800	-2.086200	-5.760200	-2.579100	-7.859100	0.000000	0.488000	0.170000	0.143000	2.600000	1.450000	0.935000	0.620000	1.710000	1.210000	0.760000	0.580000	0.000000	-1.017761
